Track ID,Track Name,Artists,genres,duration_ms,explicit,popularity,Album,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
4jQDaI7FRGaDB0llURpnNf,HER,Block B,,179053,False,54,HER,2014-07-24,0.646,0.897,8,-2.057,1,0.193,0.0453,0.0,0.114,0.86,162.017
1T03TbRPcIMuqRLGKD5oRS,JACKPOT,Block B,,193302,False,43,HER,2014-07-24,0.69,0.952,9,-2.011,0,0.345,0.0575,0.0,0.0538,0.726,130.069
3dI59jLoFMjMAyUAyRZnkE,BANG BANG BANG,BIGBANG,,220177,False,65,MADE,2016-12-13,0.69,0.843,1,-2.949,1,0.0534,0.0167,0.0,0.346,0.428,135.01
3miMeSGd7rzJEtuhQnzm0f,BAE BAE,BIGBANG,,169429,False,54,MADE,2016-12-13,0.691,0.631,0,-4.804,1,0.0374,0.00674,0.0,0.186,0.435,139.954
26eV0R7nbqtlzh316ncU99,Fantastic Baby,BIGBANG,,230573,False,57,ALIVE,2012-02-29,0.725,0.841,2,-3.924,1,0.0545,0.002,0.0,0.0652,0.582,130.013
5NSPsOGVNWYOMeeyZPF7HY,Overdose,EXO-K,,205611,False,60,Overdose - The 2nd Mini Album,2014-08-06,0.498,0.917,5,-1.797,0,0.164,0.0615,0.0,0.358,0.652,112.357
3IQ9FJ2cMVQtger5ZhgCaj,Devil,SUPER JUNIOR,,216584,False,49,DEVIL - SUPER JUNIOR SPECIAL ALBUM,2015-07-16,0.773,0.865,4,-3.027,0,0.114,0.133,0.0,0.052,0.968,145.003
5fgHGI9EBaQkggzi6Zaq30,Dancing King,Yoo Jae Seok,,244463,False,43,Dancing King - SM STATION,2016-09-17,0.729,0.88,6,-3.712,1,0.0458,0.0185,0.0,0.0574,0.957,127.987
6Rx0ORYPP3GH9rTvGS5Vy8,CALL ME BABY,EXO,,211013,False,63,EXODUS - The 2nd Album,2015-03-30,0.692,0.886,1,-2.519,1,0.0519,0.284,0.0,0.341,0.879,100.03
4pi0Elz7B7cLfw37J3bYm9,Growl,EXO,,207053,False,62,The 1st Album 'XOXO' (Repackage),2013-08-05,0.681,0.814,11,-2.83,0,0.0603,0.145,0.0,0.556,0.876,89.993
7GbUWl6qLW1gdngbEV2WDJ,Monster,EXO,,221341,False,63,EX'ACT,2016-06-09,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0
0yB4jrSwN0bFtFRDR5vyMj,Love Shot,EXO,,200306,False,69,LOVE SHOT– The 5th Album Repackage,2018-12-13,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883
