name,id,artists,Cluster_PCA,R,G,B,opacity,noise,R_label,G_label,B_label,opacity_label,noise_label,atmosphere
Yesterday,1kMlcLyljkrShV0LSdSGBz,OFFICIAL HIGE DANDISM,4,199,64,70,51,20.146764509673115,"강렬한,","평온한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 평온한, 중립적인, 저명한, 약간의 빈티지한"
RE : WIND,0RCqAz9JQJZim0N9WAYvf7,ISEGYE IDOL,3,229,49,103,50,10.81832332666222,"강렬한,","차분한,","중립적인,","저명한,",깨끗한,"강렬한, 차분한, 중립적인, 저명한, 깨끗한"
No Flockin',34oWbFBfGEElvgO0a5c9V4,Kodak Black,3,107,17,254,51,35.568156548810315,"밸런스 있는,","차분한,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 차분한, 신비로운, 저명한, 약간의 빈티지한"
yours,24ISyrkOgpc0IodIEUokog,데이먼스 이어 Damons year,2,57,211,47,51,21.7367133644652,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Solo,4lH6nENd1y81jp7Yt9lTBX,Future,3,64,167,216,51,28.65243495663776,"밸런스 있는,","안정적인,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 신비로운, 저명한, 약간의 빈티지한"
Doja,3LtpKP5abr2qqjunvjlX5i,Central Cee,3,125,47,252,51,8.416722259283967,"밸런스 있는,","차분한,","신비로운,","저명한,",깨끗한,"밸런스 있는, 차분한, 신비로운, 저명한, 깨끗한"
Traffic light,03qu1u4hDyepQQi2lNxCka,Lee Mujin,3,127,80,105,51,13.231042917500556,"밸런스 있는,","평온한,","중립적인,","저명한,",깨끗한,"밸런스 있는, 평온한, 중립적인, 저명한, 깨끗한"
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",4,117,199,54,51,1.33422281521014,"밸런스 있는,","활기찬,","무거운,","저명한,",깨끗한,"밸런스 있는, 활기찬, 무거운, 저명한, 깨끗한"
Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,"Metro Boomin, Travis Scott, Young Thug",3,94,114,207,51,6.926840115632644,"밸런스 있는,","평온한,","신비로운,","저명한,",깨끗한,"밸런스 있는, 평온한, 신비로운, 저명한, 깨끗한"
Promise,2RUcwyW74Sv4VracHFrKdh,Jimin,1,57,185,159,51,22.84856571047365,"차가운,","안정적인,","청량한,","저명한,",약간의 빈티지한,"차가운, 안정적인, 청량한, 저명한, 약간의 빈티지한"
Sun to Me,1SjsVdSXpwm1kTdYEHoPIT,Zach Bryan,2,16,179,54,51,9.106070713809206,"차가운,","안정적인,","무거운,","저명한,",깨끗한,"차가운, 안정적인, 무거운, 저명한, 깨끗한"
3:15 (Breathe),0dGqP4VickYjtIaB5VOt4H,Russ,1,72,143,36,51,13.153213253279963,"밸런스 있는,","안정적인,","무거운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 무거운, 저명한, 깨끗한"
Trust in Me (Piano by Cho Youngsoo),7DULpHxJUhahQYxHGXmwcp,Lim Young Woong,2,30,243,107,50,16.855681565488105,"차가운,","활기찬,","중립적인,","저명한,",깨끗한,"차가운, 활기찬, 중립적인, 저명한, 깨끗한"
Party Monster,4F7A0DXBrmUAkp32uenhZt,The Weeknd,2,76,169,86,51,31.365354680898378,"밸런스 있는,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
Nights,7eqoqGkKwgOaWNNHx90uEZ,Frank Ocean,3,63,174,37,51,32.44385145652657,"차가운,","안정적인,","무거운,","저명한,",약간의 빈티지한,"차가운, 안정적인, 무거운, 저명한, 약간의 빈티지한"
LUNA,7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",3,188,114,211,51,2.879697576161885,"따뜻한,","평온한,","신비로운,","저명한,",깨끗한,"따뜻한, 평온한, 신비로운, 저명한, 깨끗한"
i swear i'll never leave again,5byXSKd7QOHtVMOiptklBD,keshi,2,15,232,84,51,23.382254836557703,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,4,207,58,62,51,39.50411385368023,"강렬한,","차분한,","무거운,","저명한,",빈티지한,"강렬한, 차분한, 무거운, 저명한, 빈티지한"
Good Night,5hP2uRu0wDBNJ60hHwsICW,RZQ,1,35,12,250,50,24.616410940627084,"차가운,","차분한,","신비로운,","저명한,",약간의 빈티지한,"차가운, 차분한, 신비로운, 저명한, 약간의 빈티지한"
새내기 (feat. 소음) - 2020 Remaster Version,60zho7l3iFAFzL205Qp7qY,"D.S, Soeum",1,52,155,146,50,17.667333778074273,"차가운,","안정적인,","청량한,","저명한,",깨끗한,"차가운, 안정적인, 청량한, 저명한, 깨끗한"
Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,Jon Pardi,1,130,58,80,51,33.54458527907494,"따뜻한,","차분한,","중립적인,","저명한,",약간의 빈티지한,"따뜻한, 차분한, 중립적인, 저명한, 약간의 빈티지한"
Haru wo Tsugeru,5QseXDzPvtjdeaWNhYbm0m,yama,4,214,80,74,51,17.589504113853682,"강렬한,","평온한,","중립적인,","저명한,",깨끗한,"강렬한, 평온한, 중립적인, 저명한, 깨끗한"
Fry’s Dream,6f4CAdAmrOfGH3FOfwHMSV,AKMU,1,100,75,240,51,4.013786969090504,"밸런스 있는,","평온한,","신비로운,","저명한,",깨끗한,"밸런스 있는, 평온한, 신비로운, 저명한, 깨끗한"
STAY (with Justin Bieber),4kux0P5UfguojB4h0lQnsj,"The Kid LAROI, Justin Bieber",4,239,82,93,51,12.608405603735823,"강렬한,","평온한,","중립적인,","저명한,",깨끗한,"강렬한, 평온한, 중립적인, 저명한, 깨끗한"
Love Letter,0yfQBmmOIVqiwhV5u10EhN,Lim Young Woong,2,15,246,48,51,9.306204136090727,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,The Weeknd,3,162,75,167,51,36.424282855236825,"따뜻한,","평온한,","청량한,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 청량한, 저명한, 약간의 빈티지한"
クリスマスソング,5P8ZvBQoCrujjNcLAxO3Su,back number,4,192,119,24,51,35.27907493884812,"강렬한,","평온한,","무거운,","저명한,",약간의 빈티지한,"강렬한, 평온한, 무거운, 저명한, 약간의 빈티지한"
Whiskey Glasses,57TEkZN3f84tFJFHFrD4pO,Morgan Wallen,4,177,110,109,51,25.605959528574605,"따뜻한,","평온한,","중립적인,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Jogging,2U4fODlayH2blucJuyjBrU,LUCY,1,232,56,162,50,16.27751834556371,"강렬한,","차분한,","청량한,","저명한,",깨끗한,"강렬한, 차분한, 청량한, 저명한, 깨끗한"
Impossible,3gPI0DkzvSHc5s21lIU5yv,RIIZE,3,199,8,207,51,1.33422281521014,"강렬한,","차분한,","신비로운,","저명한,",깨끗한,"강렬한, 차분한, 신비로운, 저명한, 깨끗한"
Light Switch,1jEBSDN5vYViJQr78W7jr2,Charlie Puth,3,199,10,156,51,7.560595952857461,"강렬한,","차분한,","청량한,","저명한,",깨끗한,"강렬한, 차분한, 청량한, 저명한, 깨끗한"
Only you,6GukZESVRKPnnz4vZGUNxC,Tophyun,2,18,205,54,50,4.803202134756504,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
